Symbol,Change_2d,Change_5d,Change_10d,Change_30d,Change_60d,Change_180d,MTD Change,YTD Change
PLUG,0.023952145,,-0.03592811,0.029940163,0.71856285,0.173652748,0.037267045,-0.215962504
PLUS,0.022790201,,-0.008623424,0.087773279,0.175546558,0.406375091,0.008698434,-0.121006973
PLXS,-0.014486908,,0.081793727,0.153739654,0.311955671,0.027183171,-0.075609356,-0.214787793
PM,-0.009927743,,0.020907249,-0.03635765,-0.229783058,-0.192229133,-0.020479087,0.263813943
PNC,0.026755281,,0.128542873,0.160061164,0.102403291,0.025100915,-0.11390163,-0.110906143
PNFP,-0.001606785,,0.147419161,0.228459526,0.124789096,-0.050694866,-0.128478908,-0.127809986
PNR,-0.01010917,,0.094585169,0.143736964,0.124072522,0.058091822,-0.086411886,-0.142819213
PNW,0.012641547,,0.017258433,-0.034516867,-0.110492283,-0.023519284,-0.016965633,0.084298827
PODD,-0.033788499,,0.109720735,0.162991601,0.107927368,-0.046790343,-0.098872384,-0.060213739
POOL,0.05984398,,0.010012814,-0.026894837,-0.049947618,0.032778949,-0.009913552,0.007684622
POR,0.01490178,,0.012192389,-0.069993277,-0.084217644,0.07339455,-0.012045525,0.015359972
POST,0.001744413,,-0.0099433,-0.042215472,-0.079110332,0.00723944,0.010043162,0.00165999
POWI,0.070501261,,0.096285616,0.039659164,0.075955604,0.068347738,-0.087828951,-0.098008808
PPBI,0.014251836,,0.134916877,0.215201941,0.07636997,0.120764712,-0.118878201,-0.144395427
PPC,0.048753017,,0.019876196,-0.034314678,-0.138383664,-0.243015234,-0.019488832,0.174928454
PPG,0.011108191,,-0.001851354,0.00027994,-0.007959376,0.106991311,0.001854788,-0.044888484
PPL,0,,0.018899222,-0.009459737,-0.081804227,-0.067990137,-0.018548666,0.064599489
PR,-0.041213044,,0.095645453,0.164074702,0.177293993,0.038589327,-0.087295989,-0.105702395
PRCT,-0.0332382,,0.080073807,0.170891394,0.457948614,0.361591422,-0.074137347,-0.260183778
PRGO,-0.015781874,,0.040172198,-0.121233833,-0.125538024,-0.004662811,-0.038620719,0.084402962
PRGS,0.019949262,,-0.009067827,0.051867984,0.128037748,0.051686658,0.009150805,-0.153645463
PRI,-0.007381491,,0.044217193,0.051673626,-0.026351685,-0.089374351,-0.042344823,0.027026987
PRIM,-0.059965889,,0.114494249,0.238775741,0.204598378,-0.153544966,-0.102732023,-0.157460714
PRK,-0.002892089,,0.093992396,0.11569851,0.078208064,0.101414181,-0.085916864,-0.10688976
PRKS,0.037484126,,0.069462065,0.102075383,0.169843292,0.083650929,-0.064950471,-0.159636904
PRU,0.007198281,,0.090168559,0.048812082,0.071642889,0.07679414,-0.082710658,-0.098344002
PRVA,0.000417372,,0.0421536,-0.005425675,-0.143989941,-0.209098435,-0.040448549,0.225575449
PSA,0.017488124,,-0.014892432,-0.014892432,-0.062360085,0.154411563,0.015117569,0.029287967
PSEC,0.01162784,,0.023255791,-0.040218773,-0.038712411,0.211661795,-0.022727251,0.018548871
PSMT,0.022695584,,0.040386421,0.093991354,0.031576655,0.03747141,-0.038818674,-0.061320885
PSN,0.016325089,,0.01111496,0.354115991,0.607155227,0.705800592,-0.010992775,-0.375826538
PSNY,-0.074380191,,-0.099173555,-0.074380191,-0.049586827,0.347107392,0.110091744,0.152381041
PSO,0.008510601,,0.049240087,0.001215717,-0.043161153,-0.15501526,-0.046929285,0.020471458
PSTG,-0.0150113,,0.078963604,0.458358968,0.331071395,0.005552138,-0.073184678,-0.208367234
PSX,0.020882186,,0.049696473,-0.007646561,-0.086097916,0.00740993,-0.04734366,0.094209125
PTC,0.023779282,,0.040373895,0.070829091,0.159588036,0.095053389,-0.038807101,-0.144613026
PTCT,-0.001901473,,0.050770073,-0.052671619,-0.164479968,-0.353679377,-0.048317015,0.16504211
PTEN,-0.053846162,,0.055128243,0.140198557,0.079252657,-0.005225402,-0.052247908,-0.046510806
PTVE,-0.00167977,,0,-0.005599125,-0.018477039,-0.378633147,0,0.022324059
PUK,0.002094189,,-0.037172826,-0.110471234,-0.233507851,-0.137172816,0.038607994,0.198243468
PVH,0.039157512,,0.109454542,0.147404953,0.480508153,0.403666613,-0.098656176,-0.3621128
PWR,-0.037881527,,0.055277837,0.262732248,0.274153609,0.094880234,-0.052382259,-0.221300797
PYCR,0.000447838,,0,-0.006717403,-0.008060918,-0.377966843,0,0.202477129
PYPL,0.002647842,,0.045160335,0.150926655,0.226242961,0.031185569,-0.043209002,-0.203514885
PZZA,0.05766743,,-0.020518375,-0.165442764,-0.214579032,0.048035278,0.020948198,0.141139179
QCOM,0.012279488,,0.021078157,0.113265658,0.0198438,0.084012238,-0.02064304,0.001988886
QDEL,0.037275392,,0.072405489,0.150174265,0.226870445,0.219361762,-0.067516895,-0.162962928
QFIN,-0.057177959,,-0.016441673,0.063312928,-0.114355824,-0.397515139,0.01671652,0.061750882
QGEN,-0.00917199,,-0.021656012,0.021146543,0.138343957,0.181146512,0.022135376,-0.118571725
QLYS,0.010730148,,0.060589027,0.11093183,0.081242498,0.018313871,-0.057127715,-0.116031979
QRVO,0.042499358,,0.022938431,0.087250279,0.008865816,0.514917045,-0.022424059,0.016158977
QS,0.016509475,,0.106132149,0.181603891,0.32311331,0.403301918,-0.095948887,-0.183044369
